"","names","ensb","hugo"
"370","ENSG00000015676.13","ENSG00000015676","NUDCD3"
"371","ENSG00000016082.10","ENSG00000016082","ISL1"
"372","ENSG00000016391.6","ENSG00000016391","CHDH"
"373","ENSG00000016402.8","ENSG00000016402","IL20RA"
"374","ENSG00000016490.11","ENSG00000016490","CLCA1"
"375","ENSG00000016602.8","ENSG00000016602","CLCA4"
"376","ENSG00000016864.12","ENSG00000016864","GLT8D1"
"377","ENSG00000017260.15","ENSG00000017260","ATP2C1"
"378","ENSG00000017373.11","ENSG00000017373","ENSG00000017373.11"
"379","ENSG00000017427.11","ENSG00000017427","IGF1"
"380","ENSG00000017483.10","ENSG00000017483","SLC38A5"
"381","ENSG00000017621.11","ENSG00000017621","ENSG00000017621.11"
"382","ENSG00000017797.7","ENSG00000017797","RALBP1"
"383","ENSG00000018189.8","ENSG00000018189","RUFY3"
"384","ENSG00000018236.10","ENSG00000018236","CNTN1"
"385","ENSG00000018280.12","ENSG00000018280","SLC11A1"
"386","ENSG00000018408.10","ENSG00000018408","WWTR1"
"387","ENSG00000018510.8","ENSG00000018510","AGPS"
"388","ENSG00000018607.5","ENSG00000018607","ZNF806"
"389","ENSG00000018610.9","ENSG00000018610","CXorf56"
"390","ENSG00000018625.10","ENSG00000018625","ATP1A2"
"391","ENSG00000018699.7","ENSG00000018699","TTC27"
"392","ENSG00000018869.12","ENSG00000018869","ZNF582"
"393","ENSG00000019102.7","ENSG00000019102","VSIG2"
"394","ENSG00000019144.12","ENSG00000019144","PHLDB1"
"395","ENSG00000019169.9","ENSG00000019169","MARCO"
"396","ENSG00000019186.5","ENSG00000019186","CYP24A1"
"397","ENSG00000019485.8","ENSG00000019485","PRDM11"
"398","ENSG00000019505.3","ENSG00000019505","SYT13"
"399","ENSG00000019549.4","ENSG00000019549","SNAI2"
"400","ENSG00000019582.10","ENSG00000019582","CD74"
"401","ENSG00000019991.11","ENSG00000019991","HGF"
"402","ENSG00000019995.6","ENSG00000019995","ZRANB1"
"403","ENSG00000020129.11","ENSG00000020129","NCDN"
"404","ENSG00000020181.13","ENSG00000020181","ADGRA2"
"405","ENSG00000020219.8","ENSG00000020219","CCT8L1P"
"406","ENSG00000020256.15","ENSG00000020256","ZFP64"
"407","ENSG00000020426.6","ENSG00000020426","MNAT1"
"408","ENSG00000020577.9","ENSG00000020577","SAMD4A"
"409","ENSG00000020633.14","ENSG00000020633","RUNX3"
"410","ENSG00000020922.8","ENSG00000020922","MRE11"
"411","ENSG00000021300.9","ENSG00000021300","PLEKHB1"
"412","ENSG00000021355.8","ENSG00000021355","SERPINB1"
"413","ENSG00000021461.12","ENSG00000021461","CYP3A43"
"414","ENSG00000021488.8","ENSG00000021488","SLC7A9"
"415","ENSG00000021574.7","ENSG00000021574","SPAST"
"416","ENSG00000021645.13","ENSG00000021645","NRXN3"
"417","ENSG00000021762.15","ENSG00000021762","OSBPL5"
"418","ENSG00000021776.6","ENSG00000021776","AQR"
"419","ENSG00000021826.10","ENSG00000021826","CPS1"
"420","ENSG00000021852.8","ENSG00000021852","C8B"
"421","ENSG00000022267.12","ENSG00000022267","FHL1"
"422","ENSG00000022277.8","ENSG00000022277","RTFDC1"
"423","ENSG00000022355.10","ENSG00000022355","GABRA1"
"424","ENSG00000022556.11","ENSG00000022556","NLRP2"
"425","ENSG00000022567.5","ENSG00000022567","SLC45A4"
"426","ENSG00000022840.11","ENSG00000022840","RNF10"
"427","ENSG00000022976.11","ENSG00000022976","ZNF839"
"428","ENSG00000023041.7","ENSG00000023041","ZDHHC6"
"429","ENSG00000023171.10","ENSG00000023171","GRAMD1B"
"430","ENSG00000023191.12","ENSG00000023191","RNH1"
"431","ENSG00000023228.9","ENSG00000023228","NDUFS1"
"432","ENSG00000023287.8","ENSG00000023287","RB1CC1"
"433","ENSG00000023318.7","ENSG00000023318","ERP44"
"434","ENSG00000023330.10","ENSG00000023330","ALAS1"
"435","ENSG00000023445.9","ENSG00000023445","BIRC3"
"436","ENSG00000023516.7","ENSG00000023516","AKAP11"
"437","ENSG00000023572.4","ENSG00000023572","GLRX2"
"438","ENSG00000023608.4","ENSG00000023608","SNAPC1"
"439","ENSG00000023697.8","ENSG00000023697","DERA"
"440","ENSG00000023734.6","ENSG00000023734","STRAP"
"441","ENSG00000023839.6","ENSG00000023839","ABCC2"
"442","ENSG00000023892.9","ENSG00000023892","DEF6"
"443","ENSG00000023902.9","ENSG00000023902","PLEKHO1"
"444","ENSG00000023909.5","ENSG00000023909","GCLM"
"445","ENSG00000024048.6","ENSG00000024048","UBR2"
"446","ENSG00000024422.7","ENSG00000024422","EHD2"
"447","ENSG00000024526.12","ENSG00000024526","DEPDC1"
"448","ENSG00000024862.12","ENSG00000024862","CCDC28A"
"449","ENSG00000025039.10","ENSG00000025039","RRAGD"
"450","ENSG00000025156.8","ENSG00000025156","HSF2"
"451","ENSG00000025293.11","ENSG00000025293","PHF20"
"452","ENSG00000025423.7","ENSG00000025423","HSD17B6"
"453","ENSG00000025434.14","ENSG00000025434","NR1H3"
"454","ENSG00000025708.8","ENSG00000025708","TYMP"
"455","ENSG00000025770.14","ENSG00000025770","NCAPH2"
"456","ENSG00000025772.7","ENSG00000025772","TOMM34"
"457","ENSG00000025796.9","ENSG00000025796","SEC63"
"458","ENSG00000025800.9","ENSG00000025800","KPNA6"
